"","id","date","price","bedrooms","bathrooms","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","lat","long","sqft_living15"
"1",7129300520,"20141013",221900,3,1,1,0,0,3,7,1180,0,1955,47.5112,-122.257,1340
"2",6414100192,"20141209",538000,3,2.25,2,0,0,3,7,2170,400,1951,47.721,-122.319,1690
"3",5631500400,"20150225",180000,2,1,1,0,0,3,6,770,0,1933,47.7379,-122.233,2720
"4",2487200875,"20141209",604000,4,3,1,0,0,5,7,1050,910,1965,47.5208,-122.393,1360
"5",1954400510,"20150218",510000,3,2,1,0,0,3,8,1680,0,1987,47.6168,-122.045,1800
"6",7237550310,"20140512",1225000,4,4.5,1,0,0,3,11,3890,1530,2001,47.6561,-122.005,4760
"7",1321400060,"20140627",257500,3,2.25,2,0,0,3,7,1715,0,1995,47.3097,-122.327,2238
"8",2008000270,"20150115",291850,3,1.5,1,0,0,3,7,1060,0,1963,47.4095,-122.315,1650
"9",2414600126,"20150415",229500,3,1,1,0,0,3,7,1050,730,1960,47.5123,-122.337,1780
"10",3793500160,"20150312",323000,3,2.5,2,0,0,3,7,1890,0,2003,47.3684,-122.031,2390
"11",1736800520,"20150403",662500,3,2.5,1,0,0,3,8,1860,1700,1965,47.6007,-122.145,2210
"12",9212900260,"20140527",468000,2,1,1,0,0,4,7,860,300,1942,47.69,-122.292,1330
"13",114101516,"20140528",310000,3,1,1.5,0,0,4,7,1430,0,1927,47.7558,-122.229,1780
"14",6054650070,"20141007",4e+05,3,1.75,1,0,0,4,7,1370,0,1977,47.6127,-122.045,1370
"15",1175000570,"20150312",530000,5,2,1.5,0,0,3,7,1810,0,1900,47.67,-122.394,1360
"16",9297300055,"20150124",650000,4,3,2,0,3,3,9,1980,970,1979,47.5714,-122.375,2140
"17",1875500060,"20140731",395000,3,2,2,0,0,3,7,1890,0,1994,47.7277,-121.962,1890
"18",6865200140,"20140529",485000,4,1,1.5,0,0,4,7,1600,0,1916,47.6648,-122.343,1610
"19",16000397,"20141205",189000,2,1,1,0,0,4,7,1200,0,1921,47.3089,-122.21,1060
"20",7983200060,"20150424",230000,3,1,1,0,0,4,7,1250,0,1969,47.3343,-122.306,1280
"21",6300500875,"20140514",385000,4,1.75,1,0,0,4,7,860,760,1947,47.7025,-122.341,1400
"22",2524049179,"20140826",2e+06,3,2.75,1,0,4,3,9,2330,720,1968,47.5316,-122.233,4110
"23",7137970340,"20140703",285000,5,2.5,2,0,0,3,8,2270,0,1995,47.3266,-122.169,2240
"24",8091400200,"20140516",252700,2,1.5,1,0,0,3,7,1070,0,1985,47.3533,-122.166,1220
"25",3814700200,"20141120",329000,3,2.25,2,0,0,4,8,2450,0,1985,47.3739,-122.172,2200
"26",1202000200,"20141103",233000,3,2,1.5,0,0,5,6,1710,0,1941,47.3048,-122.218,1030
